bin,left,right,data,expected
167,0.6699999999999999,0.6799999999999999,0.00030608815612809677,0.0009820995362477408
168,0.6799999999999999,0.69,0.0004985345651035196,0.0012358593510760193
169,0.69,0.7,0.00029231191977130747,0.0015556821930046588
170,0.7,0.71,0.0006665355389689901,0.0019584440336623283
171,0.71,0.72,0.001395778580936457,0.0024650906077704183
172,0.72,0.73,0.0013640067815039831,0.003101497675135969
173,0.73,0.74,0.0017772775953624293,0.003899458590742254
174,0.74,0.75,0.0022578683636067225,0.004897793310209073
175,0.75,0.76,0.0027156590829970242,0.006143558713594638
176,0.76,0.77,0.005224753672683731,0.007693319427178567
177,0.77,0.78,0.005186868580847836,0.009614409626459952
178,0.78,0.79,0.007048801442649335,0.011986078221695408
179,0.79,0.8,0.007352734355325549,0.014900361459363413
180,0.8,0.81,0.011118407959054997,0.018462468439420794
181,0.81,0.8200000000000001,0.014561009882897293,0.022790398227506895
182,0.8200000000000001,0.8300000000000001,0.01820228086158726,0.028013436715281417
183,0.8300000000000001,0.8400000000000001,0.024776068150184193,0.03426911553781858
184,0.8400000000000001,0.8500000000000001,0.030282365064232614,0.0416981675002991
185,0.8500000000000001,0.8600000000000001,0.038963064632023967,0.05043700217611914
186,0.8600000000000001,0.8700000000000001,0.04841864255307399,0.060607276623692544
187,0.8700000000000001,0.8800000000000001,0.05317473298609736,0.07230227931119387
188,0.8800000000000001,0.8900000000000001,0.06762911974580045,0.08557011166726709
189,0.8900000000000001,0.9000000000000001,0.08490220100727251,0.10039406801020383
190,0.9000000000000001,0.9100000000000001,0.1013538739743619,0.11667119383593927
191,0.9100000000000001,0.9199999999999999,0.11272662360448153,0.13419073086108294
192,0.9199999999999999,0.9299999999999999,0.13643855799854132,0.15261497991291464
193,0.9299999999999999,0.94,0.16445130851699108,0.17146592008639336
194,0.94,0.95,0.17314595619089818,0.19012154280369656
195,0.95,0.96,0.19260418004831767,0.20782606447265065
196,0.96,0.97,0.20799955387216806,0.223717713637202
197,0.97,0.98,0.22392377944983086,0.23687641373811705
198,0.98,0.99,0.23371825784476033,0.24639127030370442
199,0.99,1.0,0.24212062867679296,0.25144439093532084
200,1.0,1.0100000000000002,0.2457720542691643,0.251403575808623
201,1.0100000000000002,1.02,0.2436286949042379,0.2459125055697305
202,1.02,1.0300000000000002,0.23343439381209716,0.2349641987055924
203,1.0300000000000002,1.04,0.22687372990647764,0.21894280462445112
204,1.04,1.0499999999999998,0.2067373190573251,0.19862115514479445
205,1.0499999999999998,1.06,0.18506076527937682,0.17510727739572476
206,1.06,1.0699999999999998,0.16812945160582807,0.14974174932252454
207,1.0699999999999998,1.08,0.14517098335325104,0.12395779783952707
208,1.08,1.0899999999999999,0.11566842389754334,0.09912500293468268
209,1.0899999999999999,1.1,0.09779082638177179,0.07640272598137361
210,1.1,1.1099999999999999,0.07501896440818101,0.05662888403233469
211,1.1099999999999999,1.12,0.056011481726837974,0.040262876557112
212,1.12,1.13,0.041921211966906465,0.02738972881208532
213,1.13,1.1400000000000001,0.030742915185097495,0.017778984959201417
214,1.1400000000000001,1.15,0.019913507129747047,0.010980484994330637
215,1.15,1.1600000000000001,0.013345116397479047,0.0064331901393808915
216,1.1600000000000001,1.17,0.008683224287093881,0.0035640961316769754
217,1.17,1.1800000000000002,0.005388175609124053,0.001861007454918095
218,1.1800000000000002,1.19,0.0026800580206827024,0.0009126543749323365
219,1.19,1.2000000000000002,0.0021260543434955337,0.0004188232078834967
220,1.2000000000000002,1.21,0.0006624421397282834,0.00017916248860431694
221,1.21,1.2200000000000002,0.000470809538670587,7.115352750902007e-05
222,1.2200000000000002,1.23,0.000316313666054341,2.612348291215427e-05
223,1.23,1.2400000000000002,2.8101226178661582e-05,8.826942785472548e-06
224,1.2400000000000002,1.25,0.00010984625670514807,2.7320962084851884e-06
225,1.25,1.2600000000000002,0.0,7.708109125284548e-07
226,1.2600000000000002,1.27,2.6225590188905906e-05,1.9720532400654585e-07
227,1.27,1.2800000000000002,2.5628622874131348e-05,4.5503926652673195e-08
228,1.2800000000000002,1.29,2.5045244194441826e-05,9.41589273576167e-09
229,1.29,1.3000000000000003,0.0,1.7368249875607239e-09
230,1.3000000000000003,1.31,0.0,2.8379376517159296e-10
231,1.31,1.3199999999999998,0.0,4.080715459661294e-11
232,1.3199999999999998,1.33,0.0,5.127936208537109e-12
233,1.33,1.3399999999999999,0.0,5.591295936120465e-13
234,1.3399999999999999,1.35,0.0,5.250516040747684e-14
235,1.35,1.3599999999999999,0.0,4.045186488823373e-15
236,1.3599999999999999,1.37,0.0,4.1611650553532415e-16
237,1.37,1.38,0.0,0.0
238,1.38,1.3900000000000001,0.0,0.0
239,1.3900000000000001,1.4,0.0,0.0
240,1.4,1.4100000000000001,0.0,0.0
241,1.4100000000000001,1.42,0.0,0.0
242,1.42,1.4300000000000002,0.0,0.0
243,1.4300000000000002,1.44,0.0,0.0
244,1.44,1.4500000000000002,0.0,0.0
245,1.4500000000000002,1.46,0.0,0.0
246,1.46,1.4700000000000002,0.0,0.0
247,1.4700000000000002,1.48,0.0,0.0
248,1.48,1.4900000000000002,0.0,0.0
249,1.4900000000000002,1.5,0.0,0.0
250,1.5,1.5100000000000002,0.0,0.0
251,1.5100000000000002,1.52,0.0,0.0
252,1.52,1.5300000000000002,0.0,0.0
253,1.5300000000000002,1.54,0.0,0.0
254,1.54,1.5500000000000003,0.0,0.0
255,1.5500000000000003,1.56,0.0,0.0
256,1.56,1.5699999999999998,0.0,0.0
257,1.5699999999999998,1.58,0.0,0.0
258,1.58,1.5899999999999999,0.0,0.0
259,1.5899999999999999,1.6,0.0,0.0
260,1.6,1.6099999999999999,0.0,0.0
261,1.6099999999999999,1.62,0.0,0.0
262,1.62,1.63,0.0,0.0
263,1.63,1.6400000000000001,0.0,0.0
264,1.6400000000000001,1.65,0.0,0.0
265,1.65,1.6600000000000001,0.0,0.0
266,1.6600000000000001,1.67,0.0,0.0
267,1.67,1.6800000000000002,0.0,0.0
268,1.6800000000000002,1.69,0.0,0.0
269,1.69,1.7000000000000002,0.0,0.0
270,1.7000000000000002,1.71,0.0,0.0
271,1.71,1.7200000000000002,0.0,0.0
272,1.7200000000000002,1.73,0.0,0.0
273,1.73,1.7400000000000002,0.0,0.0
274,1.7400000000000002,1.75,0.0,0.0
275,1.75,1.7600000000000002,0.0,0.0
276,1.7600000000000002,1.77,0.0,0.0
277,1.77,1.7800000000000002,0.0,0.0
278,1.7800000000000002,1.79,0.0,0.0
279,1.79,1.8000000000000003,0.0,0.0
280,1.8000000000000003,1.81,0.0,0.0
281,1.81,1.8199999999999998,0.0,0.0
282,1.8199999999999998,1.83,0.0,0.0
283,1.83,1.8399999999999999,0.0,0.0
284,1.8399999999999999,1.85,0.0,0.0
285,1.85,1.8599999999999999,0.0,0.0
286,1.8599999999999999,1.87,0.0,0.0
287,1.87,1.88,0.0,0.0
288,1.88,1.8900000000000001,0.0,0.0
289,1.8900000000000001,1.9,0.0,0.0
290,1.9,1.9100000000000001,0.0,0.0
291,1.9100000000000001,1.92,0.0,0.0
292,1.92,1.9300000000000002,0.0,0.0
293,1.9300000000000002,1.94,0.0,0.0
294,1.94,1.9500000000000002,0.0,0.0
295,1.9500000000000002,1.96,0.0,0.0
296,1.96,1.9700000000000002,0.0,0.0
297,1.9700000000000002,1.98,0.0,0.0
298,1.98,1.9900000000000002,0.0,0.0
299,1.9900000000000002,2.0,0.0,0.0
300,2.0,2.0100000000000002,0.0,0.0
301,2.0100000000000002,2.02,0.0,0.0
302,2.02,2.0300000000000002,0.0,0.0
303,2.0300000000000002,2.04,0.0,0.0
304,2.04,2.0500000000000003,0.0,0.0
305,2.0500000000000003,2.06,0.0,0.0
306,2.06,2.0700000000000003,0.0,0.0
307,2.0700000000000003,2.08,0.0,0.0
308,2.08,2.09,0.0,0.0
309,2.09,2.1,0.0,0.0
310,2.1,2.11,0.0,0.0
311,2.11,2.12,0.0,0.0
312,2.12,2.13,0.0,0.0
313,2.13,2.14,0.0,0.0
314,2.14,2.15,0.0,0.0
315,2.15,2.16,0.0,0.0
316,2.16,2.17,0.0,0.0
317,2.17,2.18,0.0,0.0
318,2.18,2.19,0.0,0.0
319,2.19,2.2,0.0,0.0
320,2.2,2.21,0.0,0.0
321,2.21,2.22,0.0,0.0
322,2.22,2.23,0.0,0.0
323,2.23,2.24,0.0,0.0
324,2.24,2.25,0.0,0.0
325,2.25,2.2600000000000002,0.0,0.0
326,2.2600000000000002,2.27,0.0,0.0
327,2.27,2.2800000000000002,0.0,0.0
328,2.2800000000000002,2.29,0.0,0.0
329,2.29,2.3000000000000003,0.0,0.0
330,2.3000000000000003,2.31,0.0,0.0
331,2.31,2.3200000000000003,0.0,0.0
332,2.3200000000000003,2.33,0.0,0.0
333,2.33,2.34,0.0,0.0
334,2.34,2.35,0.0,0.0
335,2.35,2.36,0.0,0.0
336,2.36,2.37,0.0,0.0
337,2.37,2.38,0.0,0.0
338,2.38,2.39,0.0,0.0
339,2.39,2.4,0.0,0.0
340,2.4,2.41,0.0,0.0
341,2.41,2.42,0.0,0.0
342,2.42,2.43,0.0,0.0
343,2.43,2.44,0.0,0.0
344,2.44,2.45,0.0,0.0
345,2.45,2.46,0.0,0.0
346,2.46,2.47,0.0,0.0
